,c2f6,c3f8,c4f10,c5f12,c6f14,c7f16,c8f18,c_c4f8,carbon_dioxide,carbon_tetrachloride,cf4,cfc113,cfc114,cfc115,cfc11,cfc12,ch2cl2,ch3ccl3,chcl3,halon1211,halon1301,halon2402,halon1202,hcfc141b,hcfc142b,hcfc22,hfc125,hfc134a,hfc143a,hfc152a,hfc227ea,hfc236fa,hfc23,hfc245fa,hfc32,hfc365mfc,hfc4310mee,methane,methyl_bromide,methyl_chloride,nf3,nitrous_oxide,sf6,so2f2,so2,nox,co,nmvoc,bc,nh3,oc,nox_avi
1750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08370012989908002,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.019783117809567,0.0,0.0,0.0,0.054741468433575226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08519238220819592,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.91510886993145,1.9470000000021415e-05,0.0010236000000007905,0.0,0.055775658669709884,0.0,0.0,-0.0316692965982166,-0.1429087043720063,-4.600991528700888,-0.9336999426607164,-0.0248448296493331,-0.0675479064964053,-0.2589514026842874,0.0
1752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08671309356749539,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.88971181188677,3.729000000002314e-05,0.001960000000000406,0.0,0.05682938710010789,0.0,0.0,-0.04293239075753874,-0.1409415227016968,-6.718324875673488,-1.3898291972716308,-0.033458822503618535,-0.10820805472680917,-0.4131924055574121,0.0
1753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08826075374821399,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.121377231171937,1.6000000000016e-05,0.000841099999999706,0.0,0.057903022845480046,0.0,0.0,-0.029355069834484215,-0.19539160891984864,-4.85190256818521,-0.9954768239465466,-0.025820191907504064,-0.04625156245081019,-0.2651229959529804,0.0
1754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08983789232436856,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.50906106501577,-1.416999999999391e-05,-0.00074509999999961,0.0,0.05899694200006283,0.0,0.0,0.022016818467915478,-0.09837515923803686,1.2882664232832894,0.24811894969104742,0.0015790273312883407,0.0874991325363057,0.11110490263587103,0.0
1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09144402544814566,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.50045493331169,4.0900000000121395e-06,0.00021490000000046194,0.0,0.0601115277633641,0.0,0.0,0.00230670883114259,0.030779307252251087,-0.38269082213139427,-0.1968924994562542,0.0014024095430400507,0.01629895140001114,-0.08948561987133097,0.0
1756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09325602142421316,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.46253659981589,-2.169999999968031e-06,-0.00011429999999901241,0.0,0.06124717057439762,0.0,0.0,-0.020864110021250326,-0.3190493347398924,-5.204207101515351,-1.0749969119192642,-0.028855348420651072,-0.004978534777740684,-0.25189152123929404,0.0
1757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09492175370505603,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.02354066414417,3.6400000000130772e-06,0.0001912000000006131,0.0,0.0624042682484539,0.0,0.0,0.06741625866682321,0.39793985961446054,7.414533485830418,1.2418667721288372,0.05015292075990763,0.11998403755547038,0.25715097341267246,0.0
1758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0966181104025211,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.93400532918585,8.890000000011389e-06,0.00046690000000104703,0.0,0.06358322611645466,0.0,0.0,0.039695390945625686,0.24413338372230342,3.312390272040602,0.41278621963353146,0.02284065413773506,0.06776967652896193,0.06694348237856396,0.0
1759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09834565491767025,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.14146621388408,-4.009999999984859e-06,-0.00021109999999957552,0.0,0.06478445716694012,0.0,0.0,0.033479599858361464,0.017334148913462855,2.980403948307753,0.423436828416051,0.01949667567442548,0.11826823390232111,0.12634534427774824,0.0
1760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10010395338858774,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.416797144500503,-4.750999999998673e-05,-0.0024975999999989895,0.0,0.0660083821907387,0.0,0.0,0.057696761316702094,-0.022515901620725032,5.89092653079183,1.0298985647215915,0.030033349518530983,0.2003581941260002,0.37139578336202383,0.0
1761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10215759393451301,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.45599016898809,3.7000000000092514e-06,0.00019460000000126598,0.0,0.06725542992837001,0.0,0.0,0.0691333283461062,0.23157392092815243,6.180609142597632,0.9624009765089454,0.03998623402985224,0.15327971683296404,0.24424773561339208,0.0
1762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10398219219438186,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3203315e-11,0.0,0.0,0.0,1.5142326e-09,0.0,0.0,20.45168738197681,-6.4599999999859214e-06,-0.0003396999999987216,0.0,0.06852603722023246,0.0,0.0,0.026455697797989508,-0.2354226605505243,0.7223384503724333,0.005263110382294656,0.003977353486364077,0.1448572457082875,0.07826715918483096,0.0
1763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10584033745020853,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6788058e-10,0.0,0.0,0.0,1.2367808e-08,0.0,0.0,20.54517933681397,5.59000000001364e-06,0.0002937000000002854,0.0,0.06982064915962827,0.0,2.685446e-10,0.04094373137866514,-0.10225721383313946,1.531976144672285,0.10524004853375857,0.009259002571946784,0.14029249291381785,0.07909434082665179,0.0
1764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10773264687009695,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2683334000000002e-09,0.0,0.0,0.0,2.4998684000000003e-08,0.0,0.0,20.26091721016315,2.2670000000016288e-05,0.001191500000000012,0.0,0.07113971924867948,0.0,2.1557046e-09,-0.01818050389290793,-0.15857469167645633,-6.482748121084967,-1.5834690573373962,-0.026221528724344356,-0.028944351399190715,-0.4889691621969643,0.0
1765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10965974897626668,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3852705999999999e-09,0.0,0.0,0.0,3.0313258e-08,0.0,0.0,20.91915499807752,-1.4799999999995372e-05,-0.0007780999999988936,0.0,0.07248370955718973,0.0,4.0942784e-09,0.05750563088335969,0.002868112822591584,4.405366989025481,0.6076316353341156,0.02582926649016004,0.18469223357015707,0.23225595854217573,0.0
1766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11197092311920125,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4212948e-09,0.0,0.0,0.0,3.4371719e-08,0.0,0.0,20.853591900632743,-1.0149999999986559e-05,-0.0005337999999985854,0.0,0.07385309088450699,0.0,4.4730128000000005e-09,0.04435988698515558,0.024867107988628234,0.8532862232527805,-0.16304159788763428,0.012689221712382626,0.10860643930514424,-0.08883733225307644,0.0
1767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11396954262931223,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4573362e-09,0.0,0.0,0.0,3.8432158e-08,0.0,0.0,20.999179455660748,-2.069999999979033e-06,-0.00010899999999924859,0.0,0.07524834292444453,0.0,4.590554500000001e-09,0.042694443131460424,0.010492018266649694,1.088740219062629,-0.13079932364614422,0.014689946015664201,0.11769233550943703,-0.04710365073937339,0.0
1768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11600491062517156,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4932143e-09,0.0,0.0,0.0,4.247379e-08,0.0,0.0,21.659452113517297,-4.099999999998549e-05,-0.0021556000000000353,0.0,0.07666995443331742,0.0,4.7080445e-09,0.14532906119915845,0.5311912918181854,14.12632604973345,2.343999328827799,0.08536128478056604,0.2959277293859728,0.6160620552695573,0.0
1769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11807770317307444,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5293427e-09,0.0,0.0,0.0,4.6544254000000005e-08,0.0,0.0,21.496335350339965,-1.1029999999981333e-05,-0.0005798999999990784,0.0,0.07811842340115376,0.0,4.8256148e-09,0.10270914667744657,0.12263885025641486,6.49805967432934,0.9285773808462494,0.03986298622104112,0.23017361157980343,0.2874266446128555,0.0
1770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12018860877698863,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5651961e-09,0.0,0.0,0.0,5.0583037999999996e-08,0.0,0.0,21.63439757224449,-4.2289999999986505e-05,-0.002223299999998929,0.0,0.07959425722614034,0.0,4.9430925000000005e-09,0.11095625938048359,0.16370627353204448,6.833188779150191,0.9442009845179413,0.04159398332928754,0.22828819221363883,0.2950469385078396,0.0
